BSc University,BSc Major,BSc GPA,MSc University,MSc Major,MSc GPA,TOEFL/IELTS,GRE.Quant,GRE.Verbal,GRE.Writing,Total Papers,ISI,International,Local,Academic Experience,Work Experience,Accept?,Major,Fund?,Fund Amount,Target University,Field,Country,Year
Indian Institute of Technology Kanpur,Aerospace Engineering,9.30000019,-,-,-,-,170,147,4,0,0,0,0,0,0,yes,Masters,-,-,Georgia Institute of Technology,Aerospace Engineering,US,2007
Indian Institute of Technology Kanpur,Aerospace Engineering,9.30000019,-,-,-,-,170,147,4,0,0,0,0,0,0,yes,Masters,-,-,Stanford University,Aerospace Engineering,US,2007
Indian Institute of Technology Kanpur,Aerospace Engineering,9.30000019,-,-,-,-,170,147,4,0,0,0,0,0,0,yes,Masters,-,-,Massachusetts Institute of Technology,Aerospace Engineering,US,2007
"University of Poona, Pune",Electronics & Telecommunication Engineering,68.6999969,-,-,-,-,170,153,4,0,0,0,0,0,0,yes,Masters,-,-,Massachusetts Institute of Technology,Computer Science,US,2009
"University of Poona, Pune",Electrical & Computer Engineering,9.10000038,-,-,-,-,170,156,6,0,0,0,0,0,0,yes,Masters,-,-,Massachusetts Institute of Technology,Electrical & Computer Engineering,US,2009
"Visweswaraiah Technological University, Belgaum",Electrical & Computer Engineering,63,-,-,-,-,170,166,6,0,0,0,0,0,0,yes,Masters,-,-,California Institute of Technology,Electrical & Computer Engineering,US,2010
"Visweswaraiah Technological University, Belgaum",Electrical & Computer Engineering,63,-,-,-,-,170,166,6,0,0,0,0,0,0,yes,Masters,-,-,Stanford University,Electrical & Computer Engineering,US,2010
"Visweswaraiah Technological University, Belgaum",Electrical & Computer Engineering,63,-,-,-,-,170,166,6,0,0,0,0,0,0,yes,Masters,-,-,Massachusetts Institute of Technology,Electrical & Computer Engineering,US,2010
"Visweswaraiah Technological University, Belgaum",Electrical & Computer Engineering,63,-,-,-,-,170,166,6,0,0,0,0,0,0,yes,Masters,-,-,Princeton University,Electrical & Computer Engineering,US,2010
"VIT, vellore",CSE,9.3,-,-,-,-,170,147,3,0,0,0,0,0,0,no,Masters,-,-,North Carolina State University,Computer Engineering,US,2012
"VIT, vellore",CSE,9.3,-,-,-,-,170,147,3,0,0,0,0,0,0,yes,Masters,-,-,University of California Berkeley,Computer Engineering,US,2012
"VIT, vellore",CSE,9.3,-,-,-,-,170,147,3,0,0,0,0,0,0,yes,Masters,-,-,SUNY Buffalo,Computer Engineering,US,2012
"VIT, vellore",CSE,9.3,-,-,-,-,170,147,3,0,0,0,0,0,0,yes,Masters,-,-,Massachusetts Institute of Technology,Computer Engineering,US,2012
"VIT, vellore",CSE,9.3,-,-,-,-,170,147,3,0,0,0,0,0,0,yes,Masters,-,-,University of Wisconsin Madison,Computer Engineering,US,2012
"VIT, vellore",CSE,9.3,-,-,-,-,170,147,3,0,0,0,0,0,0,yes,Masters,-,-,University of Texas Austin,Computer Engineering,US,2012
Mumbai University,Computers,-1,-,-,-,-,170,154,5,0,0,0,0,0,0,yes,Masters,-,-,University of Texas Austin,Computer Science,US,2011
Mumbai University,Computers,-1,-,-,-,-,170,154,5,0,0,0,0,0,0,yes,Masters,-,-,University of Southern California,Computer Science,US,2011
Mumbai University,Computers,-1,-,-,-,-,170,154,5,0,0,0,0,0,0,yes,Masters,-,-,Johns Hopkins University,Computer Science,US,2011
Mumbai University,Computers,-1,-,-,-,-,170,154,5,0,0,0,0,0,0,yes,Masters,-,-,University of California Los Angeles,Computer Science,US,2011
Mumbai University,Computers,-1,-,-,-,-,170,154,5,0,0,0,0,0,0,yes,Masters,-,-,University of California Berkeley,Computer Science,US,2011
Mumbai University,Computers,-1,-,-,-,-,170,154,5,0,0,0,0,0,0,yes,Masters,-,-,Massachusetts Institute of Technology,Computer Science,US,2011
NTU Singapore,EEE,9,-,-,-,-,0,0,-,0,0,0,0,0,0,yes,Masters,-,-,Massachusetts Institute of Technology,Electronics and Communication,US,2014
NTU Singapore,EEE,9,-,-,-,-,0,0,-,0,0,0,0,0,0,yes,Masters,-,-,Massachusetts Maritime Academy,Electronics and Communication,US,2014
