manufacturer,model,version,power(kW),fuel_date,odometer,trip_distance(km),quantity(kWh),fuel_type,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note
Volkswagen,Golf,e-Golf,85,08.02.2019,82256,80.0,,Electricity,Winter tires,0,0,1,Normal,17.8,0,1,53.0,1.0,
Volkswagen,Golf,e-Golf,85,06.02.2019,82176,50.0,12.29,Electricity,Winter tires,0,0,1,Normal,15.5,0,1,47.0,-1.3000000000000007,
Volkswagen,Golf,e-Golf,85,05.02.2019,82126,43.0,8.68,Electricity,Winter tires,0,1,1,Normal,18.0,0,1,58.0,1.1999999999999993,
Volkswagen,Golf,e-Golf,85,04.02.2019,82083,44.0,1.5,Electricity,Winter tires,0,1,1,Normal,16.1,0,1,43.0,-0.6999999999999993,
Volkswagen,Golf,e-Golf,85,04.02.2019,82039,76.0,14.44,Electricity,Winter tires,0,1,0,Normal,19.0,0,1,76.0,2.1999999999999993,
Volkswagen,Golf,e-Golf,85,03.02.2019,81963,15.0,6.84,Electricity,Winter tires,1,0,0,Normal,16.1,0,1,23.0,-0.6999999999999993,
Volkswagen,Golf,e-Golf,85,01.02.2019,81948,63.0,7.1,Electricity,Winter tires,0,1,0,Fast,18.3,0,1,80.0,1.5,
Volkswagen,Golf,e-Golf,85,31.01.2019,81885,85.0,15.3,Electricity,Winter tires,0,1,1,Fast,18.0,0,1,47.0,1.1999999999999993,
Volkswagen,Golf,e-Golf,85,31.01.2019,81800,71.0,13.77,Electricity,Winter tires,0,0,1,Fast,19.4,0,1,45.0,2.599999999999998,
Volkswagen,Golf,e-Golf,85,25.01.2019,81729,76.0,14.26,Electricity,Winter tires,0,0,1,Normal,15.8,0,1,78.0,-1.0,
Volkswagen,Golf,e-Golf,85,24.01.2019,81653,80.0,13.08,Electricity,Winter tires,0,0,1,Moderate,14.0,0,0,52.0,-2.8000000000000007,
Volkswagen,Golf,e-Golf,85,24.01.2019,81573,59.0,4.61,Electricity,Winter tires,0,0,1,Moderate,14.6,0,0,66.0,-2.200000000000001,
Volkswagen,Golf,e-Golf,85,23.01.2019,81514,53.0,15.21,Electricity,Winter tires,0,0,1,Normal,17.2,0,1,52.0,0.3999999999999986,
Volkswagen,Golf,e-Golf,85,23.01.2019,81461,47.0,2.7,Electricity,Winter tires,0,0,1,Normal,18.7,0,1,40.0,1.8999999999999986,
Volkswagen,Golf,e-Golf,85,18.01.2019,81414,72.0,14.81,Electricity,Winter tires,0,0,1,Normal,20.0,0,1,67.0,3.1999999999999993,
Volkswagen,Golf,e-Golf,85,17.01.2019,81342,75.0,12.04,Electricity,Winter tires,0,0,1,Normal,16.6,0,1,58.0,-0.1999999999999993,
Volkswagen,Golf,e-Golf,85,16.01.2019,81267,57.0,12.87,Electricity,Winter tires,0,0,1,Normal,16.3,0,1,54.0,-0.5,
